name,Kommune
Aachen,Aachen
Aachener Stadtbetrieb (E18),Aachen
Amt für Geoinformation und Bodenordnung - Stadt Leipzig,Leipzig
Amt für Stadtgrün und Gewässer - Stadt Leipzig,Leipzig
Amt für Statistik und Wahlen - Stadt Leipzig,Leipzig
"Amt für Statistik und Wahlen - Stadt Leipzig
",Leipzig
Amt für Umweltschutz - Stadt Leipzig,Leipzig
Amt für Umweltschutz der Stadt Leipzig,Leipzig
Archäologisches Museum Hamburg,Hamburg
AWB Köln,Köln
"BA Hamburg-Nord, IT-Angelegenheiten der Bezirksverwaltung",Hamburg
"BA Mitte, OE QPK",Berlin
Bad Münstereifel,Bad Münstereifel
Bedburg,Bedburg
Behörde für Stadtentwicklung und Umwelt,Hamburg
Behörde für Stadtentwicklung und Wohnen (BSW),Hamburg
Bergheim,Bergheim
Berliner Feuerwehr,Berlin
Berliner Forsten,Berlin
Berliner Stadtreinigung (BSR),Berlin
Berliner Vermessungsämter,Berlin
"Berliner Wasserbetriebe, Organisationseinheit: Wasserversorgung",Berlin
Bezirksamt Altona,Hamburg
"Bezirksamt Altona - Dezernat Wirtschaft, Bauen und Umwelt",Hamburg
Bezirksamt Brand,Aachen
"Bezirksamt Charlottenburg-Wilmersdorf von Berlin, Umwelt- und Naturschutzamt",Berlin
Bezirksamt Friedrichshain-Kreuzberg,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
Bezirksamt Friedrichshain-Kreuzberg von Berlin - Vermessung,Berlin
"Bezirksamt Friedrichshain-Kreuzberg von Berlin, Abteilung Bauen, Planen und Facility ManagementServiceeinheit Facility ManagementFachbereich Hochbauservice Energiemanagement, FM-Hoch 4.EWG",Berlin
"Bezirksamt Friedrichshain-Kreuzberg, Finanzservice",Berlin
Bezirksamt Friedrichshain-Kreuzberg/ Bezirksbürgermeisterbüro,Berlin
Bezirksamt Friedrichshain-Kreuzberg/ Jugendamt,Berlin
"Bezirksamt Hamburg-Nord - Dezernat Wirtschaft, Bauen und Umwelt - Zentrum für Wirtschaftsförderung, Bauen und Umwelt",Hamburg
Bezirksamt Lichtenberg,Berlin
Bezirksamt Lichtenberg - Stadtentwicklungsamt,Berlin
"Bezirksamt Lichtenberg, Abteilung Personal, Finanzen, Immobilien und Kultur Serviceeinheit Facility Management",Berlin
Bezirksamt Marzahn-Hellersdorf von Berlin Jugendamt,Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, Finanzservice",Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Facility Management",Berlin
"Bezirksamt Marzahn-Hellersdorf von Berlin, SE Finanzen",Berlin
"Bezirksamt Marzahn-Hellersdorf, Finanzservice",Berlin
Bezirksamt Mitte - Facility Management,Berlin
Bezirksamt Pankow,Berlin
Bezirksamt Steglitz-Zehlendorf,Berlin
"Bezirksamt Steglitz-Zehlendorf - Abt. Immobilien, Umwelt und Tiefbau, Serviceeinheit Facility Management",Berlin
Bezirksamt Steglitz-Zehlendorf - Büro der Bezirksbürgermeisterin,Berlin
Bezirksamt Steglitz-Zehlendorf - Jugendamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Schulamt und Hochbauamt,Berlin
Bezirksamt Steglitz-Zehlendorf - Straßen- und Grünflächenamt,Berlin
Bezirksamt Tempelhof-Schöneberg,Berlin
Bezirksamt Tempelhof-Schöneberg - Finanzservice,Berlin
Bezirksamt Treptow-Köpenick - Büro Bezirksbürgermeister,Berlin
"Bezirksamt Treptow-Köpenick, Büro des Bezirksbürgermeisters",Berlin
"Bezirksamt Wandsbek - Zentrum für Wirtschaftsförderung, Bauen und Umwelt",Hamburg
"Bezirksämter, Bezirksamt Altona, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Bergedorf, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Eimsbüttel, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Hamburg-Mitte, Dezernat Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Hamburg-Nord, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Harburg, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftsplanung",Hamburg
"Bezirksämter, Bezirksamt Wandsbek, Dezernat 4 - Wirtschaft, Bauen und Umwelt, Fachamt Stadt- und Landschaftplanung",Hamburg
Bezirksregierung Arnsberg,Arnsberg
Bezirksregierung Münster,Münster
Bezirsamt Treptow-Köpenick von Berlin,Berlin
Bielefeld,Bielefeld
Bonn,Bonn
Bonn.digital GbR,Bonn
bonnorange AöR,Bonn
Brühl,Brühl
Der Polizeipräsident in Berlin,Berlin
Der Regierende Bürgermeister von Berlin - Senatskanzlei - Landesredaktion / Koordinierung Berlin.de,Berlin
"Die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",Bremen
Dormagen,Dormagen
Dortmund,Dortmund
Duisburg,Duisburg
Duisburg Kontor,Duisburg
Düsseldorf,Düsseldorf
Düsseldorfer Drogenhilfe e.V.,Düsseldorf
Elsdorf,Elsdorf
Energiebeauftragter des Bezirksamtes Herr Müller-Nilsson,Berlin
Essen,Essen
Feuerwehr Düsseldorf,Düsseldorf
Feuerwehr Koeln,Köln
FH Köln,Köln
"Finanzbehörde Hamburg, Finanzbehörde, Fachliche Leitstelle DRiVe",Hamburg
"Finanzbehörde Hamburg, Finanzbehörde, Fachliche Leitstelle INEZ",Hamburg
Finanzservice Tempelhof-Schöneberg,Berlin
Fischereiamt Berlin,Berlin
Flughafen Münster/Osnabrück,Münster
"Freie Hansestadt Bremen, der Senator für Inneres",Bremen
"Freie Hansestadt Bremen, der Senator für Kultur",Bremen
"Freie Hansestadt Bremen, die Senatorin für Kinder und Bildung",Bremen
"Freie Hansestadt Bremen, die Senatorin für Klimaschutz, Umwelt, Mobilität, Stadtentwicklung und Wohnungsbau",Bremen
Freie und Hansestadt Bremen,Bremen
Gelsenkirchen,Gelsenkirchen
Gemeinde Altenberge,Altenberge
Gemeinde Bönen,Bönen
Gemeinde Everswinkel,Everswinkel
Gemeinde Grafschaft,Gemeinde Grafschaft
Gemeinde Holzwickede,Holzwickede
Gemeinde Lotte,Lotte
Gemeinde Roetgen,Roetgen
Gemeinde Schwalmtal,Schwalmtal
Gemeinde Steinhagen,Steinhagen
Gemeinde Südlohn,Südlohn
Gemeinde Titz,Titz
Titz,Titz
Gemeindeverwaltung Scharbeutz,Scharbeutz
Geoservice der Stadt Aachen,Aachen
GeoService der StädteRegion Aachen,Aachen
GeoService StädteRegion Aachen,Aachen
GISAdminChemnitz,Chemnitz
Glückstadt,Glückstadt
Hamburg Port Authority,Hamburg
Hamburg Tourismus GmbH,Hamburg
Hamburger Hochbahn AG,Hamburg
"Hamburger Hochbahn AG, Sachgebiet Vermessung",Hamburg
Hamburger Verkehrsbund GmbH,Hamburg
