MUSTERDATENSATZ,thema,Bezeichnung,Bezeichnung2,e,f,THEMA,BEZEICHNUNG,URI,Beschreibung,Topic,Label
Abfallentsorgung - Abfallkalender,abfallentsorgung,abfallkalender,,,Gleiche URI wie zuvor,Abfallentsorgung,Abfallkalender,,Auflistung der Müllabfuhrtermine nach Abfallkategorie und Ort,waste disposal,waste calendar
Abfallentsorgung - Abfallmenge,abfallentsorgung,abfallmenge,,,,Abfallentsorgung,Abfallmenge,,Menge des entsorgten Mülls nach unterschiedlichen Abfallarten,waste disposal,waste volume
Abfallentsorgung - Abgabestelle,abfallentsorgung,abgabestelle,,,,Abfallentsorgung,Abgabestelle,,"Ort, an dem bestimmte Müllkategorien abgegeben werden können",waste disposal,collection point
Abfallentsorgung - Container,abfallentsorgung,container,,,,Abfallentsorgung,Container,,"Standorte der Großraumbehälter zur Sammlung, Zwischenlagerung und zum Transport von Müll",waste disposal,container
Abfallentsorgung - Entwässerung,abfallentsorgung,entwaesserung,,,,Abfallentsorgung,Entwässerung,,Statistiken zum Abführen von [Ab]wasser durch künstliche und natürliche Einrichtungen,waste disposal,drainage
Abfallentsorgung - Müllgebühr,abfallentsorgung,muellgebuehr,,,,Abfallentsorgung,Müllgebühr,,Entgelt für die Abfallentsorgung,waste disposal,waste disposal fee
Abfallentsorgung - Straßenreinigung,abfallentsorgung,strassenreinigung,,,,Abfallentsorgung,Straßenreinigung,,Reinigung öffentlicher Straßen und Plätze,waste disposal,street cleaning
Bau - Baufertigstellung,bau,baufertigstellung,,,,Bau,Baufertigstellung,,"Bauvorhaben, deren Bauarbeiten weitgehend abgeschlossen sind",construction,construction completion
Bau - Baugenehmigung,bau,baugenehmigung,,,,Bau,Baugenehmigung,,"Bauaufsichtsbehördlich erteilte Genehmigung zur Errichtung, Änderung oder Beseitigung eines Baus",construction,construction permit
Bau - Baustelle,bau,baustelle,,,,Bau,Baustelle,,"Orte, an denen Bauwerke errichtet, umgebaut oder abgerissen werden",construction,construction site
Bau - Bauvorhaben,bau,bauvorhaben,,,,Bau,Bauvorhaben,,Gesamter Planungs- und Arbeitsprozess zum Herstellen oder Verändern eines Bauobjekts,construction,building project
Bau - Brunnen,bau,brunnen,,,,Bau,Brunnen,,Brunnen und Teichfontänen,construction,fountain
Bau - Grundstücksbewertung,bau,grundstuecksbewertung,,,,Bau,Grundstücksbewertung,,Wertermittlung für bebaute und unbebaute Grundstücke und grundstücksgleiche Rechte (Immobilien),construction,property valuation
Bau - Tiefbau,bau,tiefbau,,,,Bau,Tiefbau,,Angaben zum Tätigkeitsbereich der Tiefbauämter,construction,underground construction
Bau - Wohnungsbestand,bau,wohnungsbestand,,,,Bau,Wohnungsbestand,,"Wohngebäudebestand, Gesamtzahl der in einem Gebiet an einem Stichtag vorhandenen Häuser und Wohnungen",construction,residential portfolio
Bevölkerungsstruktur - Demografiebericht,bevoelkerungsstruktur,demografiebericht,,,,Bevölkerungsstruktur,Demografiebericht,,"Bericht, der die demografische Entwicklung für Kommunen darstellt",population structure,demographic report
Bevölkerungsstruktur - Einwohnerzahl,bevoelkerungsstruktur,einwohnerzahl,,,,Bevölkerungsstruktur,Einwohnerzahl,,Gesamtzahl der Einwohnerinnen und Einwohner,population structure,population
Bevölkerungsstruktur - Haushaltszusammensetzung,bevoelkerungsstruktur,haushaltszusammensetzung,,,,Bevölkerungsstruktur,Haushaltszusammensetzung,,"Personen, die in einer gemeinsamen Wohnung leben",population structure,household composition
Bevölkerungsstruktur - Migrationshintergrund,bevoelkerungsstruktur,migrationshintergrund,,,,Bevölkerungsstruktur,Migrationshintergrund,,"Daten zur Bevölkerungszusammensetzung im Hinblick auf den Faktor ""Migrationshintergrund""",population structure,migration background
Bevölkerungsstruktur - Religionszugehörigkeit,bevoelkerungsstruktur,religionszugehoerigkeit,,,,Bevölkerungsstruktur,Religionszugehörigkeit,,Zugehörigkeit einer Person zu einer bestimmten Religionsgemeinschaft,population structure,religious affiliation
Bevölkerungsstruktur - Staatsangehörigkeit,bevoelkerungsstruktur,staatsangehoerigkeit,,,,Bevölkerungsstruktur,Staatsangehörigkeit,,Angaben zur Staatsangehörigkeit der Bevölkerung,population structure,citizenship
Bevölkerungsstruktur - Vorname,bevoelkerungsstruktur,vorname,,,,Bevölkerungsstruktur,Vorname,,Statistiken zu vergebenen Vornamen,population structure,first name
Bildung - Ausbildung,bildung,ausbildung,,,,Bildung,Ausbildung,,Ausbildungseinrichtungen,education,education
