musterdatensatz,thema,bezeichnung
Abfallwirtschaft - Abfallkalender,abfallwirtschaft,abfallkalender
Abfallwirtschaft - Abfallmengen,abfallwirtschaft,abfallmengen
Abfallwirtschaft - Abgabestellen,abfallwirtschaft,abgabestellen
Abfallwirtschaft - Beteiligungen,abfallwirtschaft,beteiligungen
Abfallwirtschaft - Betriebe,abfallwirtschaft,betriebe
Abfallwirtschaft - Container,abfallwirtschaft,container
Abfallwirtschaft - Entwässerung,abfallwirtschaft,entwaesserung
Abfallwirtschaft - Gremien,abfallwirtschaft,gremien
Abfallwirtschaft - Müllabfuhr,abfallwirtschaft,muellabfuhr
Abfallwirtschaft - Müllgebühren,abfallwirtschaft,muellgebuehren
Bau - Baufertigstellungen,bau,baufertigstellungen
Bau - Baugenehmigungen,bau,baugenehmigungen
Bau - Bauprojekte,bau,bauprojekte
Bau - Gebäude,bau,gebaeude
Bau - Grundstückbewertung,bau,grundstueckbewertung
Behörden - Einrichtungen,behoerden,einrichtungen
Bevölkerung - Arbeit,bevoelkerung,arbeit
Bevölkerung - Bedarfsgemeinschaften,bevoelkerung,bedarfsgemeinschaften
Bevölkerung - Demografie,bevoelkerung,demografie
Bevölkerung - Einwohnerzahl,bevoelkerung,einwohnerzahl
Bevölkerung - Flüchtlingszahlen,bevoelkerung,fluechtlingszahlen
Bevölkerung - Geburten und Sterbefälle,bevoelkerung,geburtenUndSterbefaelle
Bevölkerung - Integration,bevoelkerung,integration
Bevölkerung - Menschen mit Behinderung,bevoelkerung,menschenMitBehinderung
Bevölkerung - Migrationshintergrund,bevoelkerung,migrationshintergrund
Bevölkerung - Religionszugehörigkeit,bevoelkerung,religionszugehoerigkeit
Bevölkerung - Staatsangehörigkeit,bevoelkerung,staatsangehoerigkeit
Bevölkerung - Vornamen,bevoelkerung,vornamen
Bevölkerung - Wohnen,bevoelkerung,wohnen
Bibliotheken - Ausleihen,bibliotheken,ausleihen
Bibliotheken - Bestände,bibliotheken,bestaende
Bibliotheken - Besucherzahlen,bibliotheken,besucherzahlen
Bibliotheken - Budget,bibliotheken,budget
Bibliotheken - Einrichtungen,bibliotheken,einrichtungen
Bibliotheken - Kennzahlen,bibliotheken,kennzahlen
Bildungsträger - Einrichtungen,bildungstraeger,einrichtungen
Bürgerbeteiligung - Bürgerentscheid,buergerbeteiligung,buergerentscheid
Bürgerbeteiligung - Bürgerhaushalt,buergerbeteiligung,buergerhaushalt
Bürgerbeteiligung - Information,buergerbeteiligung,information
Bürgerbeteiligung - Umfrage,buergerbeteiligung,umfrage
Bürgerservice - Anliegenmanagement,buergerservice,anliegenmanagement
Bürgerservice - Produkte,buergerservice,produkte
Bürgerservice - Telefonverzeichnis,buergerservice,telefonverzeichnis
Bürgerservice - Termine,buergerservice,termine
Bürgerservice - Wartezeiten,buergerservice,wartezeiten
Energiewirtschaft - Energieberichte,energiewirtschaft,energieberichte
Energiewirtschaft - Heizung,energiewirtschaft,heizung
Energiewirtschaft - Solar,energiewirtschaft,solar
Energiewirtschaft - Strom,energiewirtschaft,strom
Energiewirtschaft - Wasser,energiewirtschaft,wasser
Externe Infrastruktur - Coworking Spaces,externeInfrastruktur,coworkingSpaces
Externe Infrastruktur - Einkaufsführer,externeInfrastruktur,einkaufsfuehrer
Externe Infrastruktur - Einzelhandel,externeInfrastruktur,einzelhandel
"Externe Infrastruktur - Kirchen, Kapellen und Klöster",externeInfrastruktur,kirchenKappellenUndKloester
Externe Infrastruktur - Märkte,externeInfrastruktur,maerkte
Externe Infrastruktur - Öffnungszeiten,externeInfrastruktur,oeffnungszeiten
Externe Infrastruktur - Polizei,externeInfrastruktur,polizei
Externe Infrastruktur - Postfilialen,externeInfrastruktur,postfilialen
Externe Infrastruktur - Weihnachtsmärkte,externeInfrastruktur,weihnachtsmaerkte
Externe Infrastruktur - Wochenmärkte,externeInfrastruktur,wochenmaerkte
Feuerwehr - Einrichtungen,feuerwehr,einrichtungen
Feuerwehr - Einsätze,feuerwehr,einsaetze
Feuerwehr - Kennzahlen,feuerwehr,kennzahlen
Freizeit - Bäder,freizeit,baeder
Freizeit - Einrichtungen,freizeit,einrichtungen
Freizeit - Ferienangebot,freizeit,ferienangebot
Freizeit - Grillplätze,freizeit,grillplaetze
Freizeit - Sitzgelegenheiten,freizeit,sitzgelegenheiten
Friedhöfe - Ehrengräber,friedhoefe,ehrengraeber
Friedhöfe - Einrichtungen,friedhoefe,einrichtungen
Friedhöfe - Grabstätten,friedhoefe,grabstaetten
Fuhrpark - KFZ-Bestand,fuhrpark,kfzBestand
Geschichte - Archivbestand,geschichte,archivbestand
Geschichte - Entschädigungen,geschichte,entschaedigungen
Geschichte - Historische Luftaufnahmen,geschichte,historischeLuftaufnahmen
Geschichte - Information,geschichte,information
Geschichte - Personalverzeichnis historisch,geschichte,personalverzeichnisHistorisch
Gesundheitseinrichtungen - Apotheken,gesundheitseinrichtungen,apotheken
Gesundheitseinrichtungen - Bäder,gesundheitseinrichtungen,baeder
Gesundheitseinrichtungen - Drogenhilfe,gesundheitseinrichtungen,drogenhilfe
Gesundheitseinrichtungen - Hebammen,gesundheitseinrichtungen,hebammen
Gesundheitseinrichtungen - Krankenhäuser,gesundheitseinrichtungen,krankenhaeuser
Gesundheitseinrichtungen - Pflege,gesundheitseinrichtungen,pflege
Gewässer - Pegelstände,gewaesser,pegelstaende
Gewässer - Wasserflächen,gewaesser,wasserflaechen
Grünflächen - Ausgleichsflächen,gruenflaechen,ausgleichsflaechen
Grünflächen - Baumbestand/Baumkataster,gruenflaechen,baumbestandBaumkataster
Grünflächen - Baumfällungen,gruenflaechen,baumfaellungen
Grünflächen - Biotopflächen,gruenflaechen,biotopflaechen
Grünflächen - Blumenampeln,gruenflaechen,blumenampeln
Grünflächen - Brunnen,gruenflaechen,brunnen
Grünflächen - Grünflächen/Grünflächenkataster,gruenflaechen,gruenflaechenGruenflaechenkataster
Grünflächen - Hundekottüten,gruenflaechen,hundekottueten
Grünflächen - Hundewiesen,gruenflaechen,hundewiesen
Grünflächen - Jagdbezirke,gruenflaechen,jagdbezirke
Grünflächen - Kleingärten,gruenflaechen,kleingaerten
Grünflächen - Naturschutz,gruenflaechen,naturschutz
Grünflächen - Parkanlagen,gruenflaechen,parkanlagen
Grünflächen - Urban Gardening,gruenflaechen,urbanGardening
Grünflächen - Waldflächen,gruenflaechen,waldflaechen
Haushalt - Außerplanmäßige Aufwendungen,haushalt,ausserplanmaessigeAufwendungen
Haushalt - Controlling,haushalt,controlling
Haushalt - Eckdaten,haushalt,eckdaten
Haushalt - Einzeldarstellungen,haushalt,einzeldarstellungen
Haushalt - Ergebnisplan,haushalt,ergebnisplan
Haushalt - Finanzplan,haushalt,finanzplan
Haushalt - Förderungen,haushalt,foerderungen
Haushalt - Haushaltskonsolidierung,haushalt,haushaltskonsolidierung
Haushalt - Haushaltsplan,haushalt,haushaltsplan
Haushalt - Jahresabschluss,haushalt,jahresabschluss
Haushalt - Metadaten,haushalt,metadaten
Haushalt - Produktbereichssummen,haushalt,produktbereichsummen
Haushalt - Produktgruppen,haushalt,produktgruppen
Haushalt - Produktpläne,haushalt,produktplaene
Haushalt - Satzung,haushalt,satzung
Haushalt - Sicherungskonzept,haushalt,sicherungskonzept
Haushalt - Sponsoring,haushalt,sponsoring
Haushalt - Zuwendungen Politische Gremien,haushalt,zuwendungenPolitischeGremien
Hochschulen - Gebäude,hochschulen,gebaeude
Hochschulen - Studierendenzahlen,hochschulen,studierendenzahlen
Individualverkehr - Baustellen,individualverkehr,baustellen
Individualverkehr - Bußgelder,individualverkehr,bussgelder
Individualverkehr - Carsharing,individualverkehr,carsharing
Individualverkehr - Fahrzeugzulassungen,individualverkehr,fahrzeugzulassungen
Individualverkehr - Kennzahlen,individualverkehr,kennzahlen
Individualverkehr - KFZ-Bestand,individualverkehr,kfzBestand
Individualverkehr - Lärm,individualverkehr,laerm
Individualverkehr - Messstellen,individualverkehr,messstellen
Individualverkehr - Schwerlastverkehr,individualverkehr,schwerlastverkehr
