dct:title,MUSTERDATENSATZ,THEMA,BEZEICHNUNG,dct:description,dct:identifier,dcat:Distribution.dct:license,dcat:theme,updated_at,ORG,dcat:landingPage,ART,Metadaten,Format,Datum,KGSt
Abfallplaner Müllabfuhrtermine 2020,Abfallwirtschaft - Abfallkalender,Abfallwirtschaft,Abfallkalender,"Auflistung der Müllabfuhrtermine der bonnorange AöR für die Rest-, Bio-, Papiertonne, Grüner Punkt und Sperrmüll im Stadtgebiet Bonn für das Jahr 2020.",1955e791-5c59-445e-aa7d-d975c9bd0fd3,Creative Commons Namensnennung (CC-BY),Umwelt,2020-01-28T01:31:05.023357,Bonn,https://open.nrw/dataset/abfallplaner-muellabfuhrtermine-2020-bn,,,,,
Vornamen von Neugeborenen im Jahr 2019,Bevölkerung - Vornamen,Bevölkerung,Vornamen,"Der Datensatz enthält die Vornamen von Neugeborenen im Bonner Stadtgebiet im Jahr 2019. Die Liste umfasst Vornamen, Anzahl und Angabe zum Geschlecht .",8fb25423-fb96-4ce7-b766-8c60a744b994,Creative Commons CC Zero License (cc-zero),Bevölkerung und Gesellschaft,2020-01-28T01:31:00.428335,Bonn,https://open.nrw/dataset/vornamen-von-neugeborenen-im-jahr-2019-bn,,,,,
Beteiligungsbericht 2017,Öffentliche Wirtschaft - Beteiligungen,Öffentliche Wirtschaft,Beteiligungen,"Seit 1994 erstellt die Verwaltung Berichte über die städtischen Beteiligungsgesellschaften, Eigenbetriebe und eigenbetriebsähnlichen Einrichtungen. Zwischenzeitlich hinzugekommen sind die Anstalten des öffentlichen Rechts und die Zweckverbände. Der Bericht soll dazu beitragen, die Betätigung der Bundesstadt Bonn in kommunalen Unternehmen für die Politik sowie für die Bonner Bürger transparenter zu machen. Basis des vorliegenden Beteiligungsberichts sind u. a. die geprüften Jahresabschlüsse.",1eefa0d1-102e-4e26-b9ae-46ac52eb34eb,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-28T01:30:50.521565,Bonn,https://open.nrw/dataset/beteiligungsbericht-2017-bn,,,,,
Beteiligungsbericht 2016,Öffentliche Wirtschaft - Beteiligungen,Öffentliche Wirtschaft,Beteiligungen,"Seit 1994 erstellt die Verwaltung Berichte über die städtischen Beteiligungsgesellschaften, Eigenbetriebe und eigenbetriebsähnlichen Einrichtungen. Zwischenzeitlich hinzugekommen sind die Anstalten des öffentlichen Rechts und die Zweckverbände. Der Bericht soll dazu beitragen, die Betätigung der Bundesstadt Bonn in kommunalen Unternehmen für die Politik sowie für die Bonner Bürger transparenter zu machen. Basis des vorliegenden Beteiligungsberichts sind u. a. die geprüften Jahresabschlüsse.",536b38e8-a2d6-4645-9c94-a8835d27e94f,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-28T01:30:42.246476,Bonn,https://open.nrw/dataset/beteiligungsbericht-2016-bn,,,,,
Schulstatistik Schuljahr 2019 2020,Schulen - Schülerzahlen,Schulen,Schülerzahlen,"Diese Daten beschreiben die Schulsituation beispielsweise hinsichtlich der Zahl der Schülerinnen und Schüler, der Zahl und Art der Klassen, der Anzahl der Lehrerinnen und Lehrer oder der Ausbildungsberufe (Berufskollegs). Sie sind Grundlage z.B. für die Berechnung der Personalausstattung an den Schulen oder für die finanzielle Ausstattung der Schulen. Die amtlichen Schuldaten werden von den Bonner Schulen elektronisch direkt an den Landesbetrieb Information und Technik Nordrhein-Westfalen (IT.NRW) in Düsseldorf übermittelt, wo sie gesammelt und zusammengefasst werden. Das Schulamt der Stadt Bonn erstellt aus diesen Daten die verschiedensten Auswertungen, die jeweils bestimmte Aspekte und deren Entwicklung verdichtet darstellen. Zum Stichtag 15. Oktober werden jährlich die amtlichen Schuldaten erhoben.",895b15be-df39-4484-8e0e-d926bcecfe10,Creative Commons CC Zero License (cc-zero),"Bevölkerung und Gesellschaft,Bildung, Kultur und Sport,Wissenschaft und Technologie",2020-01-28T01:30:34.600145,Bonn,https://open.nrw/dataset/schulstatistik-schuljahr-2019-2020-bn,,,,,
Schulstatistik Schuljahr 2018 2019,Schulen - Schülerzahlen,Schulen,Schülerzahlen,"Diese Daten beschreiben die Schulsituation beispielsweise hinsichtlich der Zahl der Schülerinnen und Schüler, der Zahl und Art der Klassen, der Anzahl der Lehrerinnen und Lehrer oder der Ausbildungsberufe (Berufskollegs). Sie sind Grundlage z.B. für die Berechnung der Personalausstattung an den Schulen oder für die finanzielle Ausstattung der Schulen. Die amtlichen Schuldaten werden von den Bonner Schulen elektronisch direkt an den Landesbetrieb Information und Technik Nordrhein-Westfalen (IT.NRW) in Düsseldorf übermittelt, wo sie gesammelt und zusammengefasst werden. Das Schulamt der Stadt Bonn erstellt aus diesen Daten die verschiedensten Auswertungen, die jeweils bestimmte Aspekte und deren Entwicklung verdichtet darstellen. Zum Stichtag 15. Oktober werden jährlich die amtlichen Schuldaten erhoben.",ee5d0785-2771-4db3-bc15-bd9bd06f1ef7,Creative Commons CC Zero License (cc-zero),"Bevölkerung und Gesellschaft,Bildung, Kultur und Sport,Wissenschaft und Technologie",2020-01-28T01:30:20.202780,Bonn,https://open.nrw/dataset/schulstatistik-schuljahr-2018-2019-bn,,,,,
Ratsinformationssystem Aktuelle Niederschriften,Politische Vertretung - Gremien,Politische Vertretung,Gremien,Die API gibt tagesaktuell die neu freigegebenen Niederschriften der politischen Stadtratsgremien aus.,3a67977f-fcf7-425d-9d83-2c307b3b94c1,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-28T01:30:04.673165,Bonn,https://open.nrw/dataset/ratsinformationssystem-aktuelle-niederschriften-bn,,,,,
Ratsinformationssystem OParl-API,Politische Vertretung - Gremien,Politische Vertretung,Gremien,Die Standard-API für offene Parlamentssysteme (OParl) sind gemäß der Spezifikation in der OParlversion 1.1 verfügbar. Die Spezifikationen und weitere Informationen zu OParl sind hier abrufbar: https://oparl.org/spezifikation/online-ansicht/ <br /><br />Die Nutzung umfasst die Textinformationen zu den Ratsterminen und öffentlichen Gremienvorlagen aus dem Ratsinformationssystem ohne angehängte bzw. externen Dokumente. <br /><br /> Das neue Ratsinformationssystem befindet sich noch im Aufbau. Die Übernahme der Altdaten aus dem BoRIS-System erfolgt im Jahr 2020.,f2e31c5d-3d82-4476-94f0-c16ac0cd41ba,Creative Commons CC Zero License (cc-zero),Regierung und öffentlicher Sektor,2020-01-28T01:29:56.023023,Bonn,https://open.nrw/dataset/ratsinformationssystem-oparl-api-bn,,,,,
Georeferenzierte Hausnummern,Raumordnung - Hausnummern,Raumordnung,Hausnummern,"Die API gibt die Geokoordinaten der Hausnummern in Bonn mit Angabe des Gemeindeschlüssels, Verwaltungsheinheit, Gemeindename, Ortsteil, Straßen-Schlüssel und Straßennamen aus.",2300b8b8-7057-4ffd-ac80-8e1374bce8ae,Creative Commons CC Zero License (cc-zero),,2020-01-28T01:29:47.986097,Bonn,https://open.nrw/dataset/georeferenzierte-hausnummern-bn,,,,,
Fahrradmessstellen Ergebnisse Radzählungen Vortag,Radverkehr - Messstellen,Radverkehr,Messstellen,Die API gibt die Ergebnisse der Zählungen an den Fahrradmesstellen in Bonn für den Vortrag aus. Die Standorte Fahrradmessstellen Radzählungen sind als weiterer Datensatz abrufbar.,cfc2a3cf-e585-472a-b70d-679aa3070f41,Creative Commons CC Zero License (cc-zero),Verkehr,2020-01-28T01:29:47.423339,Bonn,https://open.nrw/dataset/fahrradmessstellen-ergebnisse-radzaehlungen-vortag-bn,,,,,
