"ORG","MUSTERDATENSATZ","THEMA","BEZEICHNUNG","ART","LEIKA"," KGST","NRW","Kategorie","dcat:theme","dct:title","dct:description","dcat:landingPage","dct:identifier","dcat:Distribution.dct:license","dct:publisher foaf:Agent"
"Stadt Moers","Abfallwirtschaft - Abfallkalender","Abfallwirtschaft","Abfallkalender","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Moers: Abfallkalender 2014","Der Datensatz enthält Angaben zum Abfallkalender 2014 der ENNI Stadt & Service.
Aktualisierung jährlich oder bei Änderung des Kalenders.","http://www.offenedaten.moers.de","f7b2e639-e60d-4c59-a496-74f7c79129c7","http://dcat-ap.de/def/licenses/dl-zero-de/2.0","ENNI Stadt & Service"
"Stadt Moers","Abfallwirtschaft - Abfallkalender","Abfallwirtschaft","Abfallkalender","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Moers: Abfallkalender 2015","Der Datensatz enthält Angaben zum Abfallkalender 2015 der ENNI Stadt & Service. Aktualisierung jährlich oder bei Änderung des Kalenders.","http://www.offenedaten.moers.de","26189ebc-f19e-4eeb-b4d7-d6ec78001e2d","http://dcat-ap.de/def/licenses/dl-zero-de/2.0","ENNI Stadt & Service"
"Stadt Moers","Abfallwirtschaft - Abfallkalender","Abfallwirtschaft","Abfallkalender","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Moers: Abfallkalender 2016 Stadt Moers","Der Datensatz enthält Angaben zum Abfallkalender 2015 der ENNI Stadt & Service. Aktualisierung jährlich oder bei Änderung des Kalenders.","http://www.offenedaten.moers.de","25917f91-fdc4-4db1-b3ba-0b00002ed58c","http://dcat-ap.de/def/licenses/dl-zero-de/2.0","ENNI Stadt & Service"
"Stadt Moers","Abfallwirtschaft - Abfallkalender","Abfallwirtschaft","Abfallkalender","Termine","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Moers: Abfallkalender Stadt Moers","Der Datensatz enthält Angaben zum Abfallkalender 2018 der ENNI Stadt & Service. Aktualisierung jährlich oder bei Änderung des Kalenders.","http://www.offenedaten.moers.de","fe92e461-9db4-4d12-ba58-8d4439084e90","http://dcat-ap.de/def/licenses/dl-zero-de/2.0","ENNI Stadt & Service"
"Stadt Köln","Abfallwirtschaft - Abfallmengen","Abfallwirtschaft","Abfallmengen","Übersicht/Statistik","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Nach Abfallarten differenzierte entsorgte Abfallmenge Stadt Koeln","<p>Abfallmengen<strong> in Tonnen</strong> bezogen auf die Jahre ab 2011. Entsorgt in der Stadt Köln.</p>

<p>Datenherkunft: <a href=""http://www.abfall-nrw.de/aida/glossar.php?id=abila&amp;link=1&amp;rueck=beenden"">ABILA</a> - Kommunale Abfallbilanzen<br />
Quelle: <a href=""http://www.abfall-nrw.de/aida/"">http://www.abfall-nrw.de/aida/</a></p>

<p>Unter der angegebenen Quelle finden Sie auch Daten zu den weiter zurückliegenden Jahren und auch bezogen auf weitere Gebietskörperschaften, Kreise und Städte.</p>

<p>Weitere Informationen hierzu finden Sie beimÂ Landesamt für Natur, Umwelt und Verbraucherschutz NRW -Â <a href=""http://www.lanuv.nrw.de/"" target=""_blank"">LANUV</a></p>

<p><strong>Daten zu Folgejahren werden sukzessive aufgenommen sobald diese zur Verfügung stehen.</strong></p>

<p><strong>Die Verlinkungen zu der json Darstellung verweisen auf den internen Datastore, das heißt die URLs können mit unterschiedlichen Parametern abgefragt werden:Â </strong><a href=""http://offenedaten-koeln.de/blog/dkanApiHowTo"">http://offenedaten-koeln.de/blog/dkanApiHowTo</a></p>
","https://offenedaten-koeln.de/dataset/nach-abfallarten-differenzierte-entsorgte-abfallmenge-stadt-koeln","d5fdf3d7-6678-4f80-a05d-20d18906119d","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Abfallmengen","Abfallwirtschaft","Abfallmengen","Übersicht/Statistik","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Nach Abfallarten differenzierte erzeugte Abfallmenge Stadt Koeln","<p>Abfallmengen<strong> in Tonnen</strong> bezogen auf die Jahre <strong>ab</strong> 2011. Erzeugt in der Stadt Köln.</p>

<p>Datenherkunft: <a href=""http://www.abfall-nrw.de/aida/glossar.php?id=abila&amp;link=1&amp;rueck=beenden"" target=""_blank"">ABILA </a>Â - Kommunale Abfallbilanzen<br />
Quelle: <a href=""http://www.abfall-nrw.de/aida/"" target=""_blank"">http://www.abfall-nrw.de/aida/</a></p>

<p>Unter der angegebenen Quelle finden Sie auch Daten zu den Â zurückliegenden Jahren und auch bezogen auf weitere Gebietskörperschaften, Kreise und Städte.</p>

<p>Weitere Informationen hierzu finden Sie beimÂ Landesamt für Natur, Umwelt und Verbraucherschutz NRW - <a href=""http://www.lanuv.nrw.de/"" target=""_blank"">LANUV</a></p>

<p><strong>Daten zu Folgejahren werden sukzessive aufgenommen sobald diese zur Verfügung stehen.</strong></p>

<p><strong>Die Verlinkungen zu der json Darstellung verweisen auf den internen Datastore, das heißt die URLs können mit unterschiedlichen Parametern abgefragt werden:Â </strong><a href=""http://offenedaten-koeln.de/blog/dkanApiHowTo"">http://offenedaten-koeln.de/blog/dkanApiHowTo</a></p>
","https://offenedaten-koeln.de/dataset/nach-abfallarten-differenzierte-erzeugte-abfallmenge-stadt-koeln","1bd83218-86b7-4db6-a5e9-4fcd2d60a4d2","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Abfallmengen","Abfallwirtschaft","Abfallmengen","Übersicht/Statistik","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Summe erzeugter und entsorgter Abfaelle Stadt Koeln","<p>Abfallmengen <strong>in Tonnen</strong> bezogen auf die Jahre ab 2011. Erzeugt in der Stadt Koeln / Entsorgt in der Stadt Köln.</p>

<p>Datenherkunft: <a href=""http://www.abfall-nrw.de/aida/glossar.php?id=abila&amp;link=1&amp;rueck=beenden"" target=""_blank"">ABILA</a>Â  - Kommunale Abfallbilanzen<br /><strong>Quelle:</strong> <a href=""http://www.abfall-nrw.de/aida/"" target=""_blank"">http://www.abfall-nrw.de/aida/</a></p>

<p>Unter der angegebenen Quelle finden Sie auch Daten zu den weiter zurückliegenden Jahren und auch bezogen auf weitere Gebietskörperschaften, Kreise und Städte.</p>

<p>Weitere Informationen hierzu finden Sie beimÂ Landesamt für Natur, Umwelt und Verbraucherschutz NRW -Â <a href=""http://www.lanuv.nrw.de/"" target=""_blank"">LANUV</a></p>

<p><strong>Daten zu Folgejahren werden sukzessive aufgenommen sobald diese zur Verfügung stehen.</strong></p>

<p><strong>Die Verlinkungen zu der json Darstellung verweisen auf den internen Datastore, das heißt die URLs können mit unterschiedlichen Parametern abgefragt werden:Â </strong><a href=""http://offenedaten-koeln.de/blog/dkanApiHowTo"">http://offenedaten-koeln.de/blog/dkanApiHowTo</a></p>
","https://offenedaten-koeln.de/dataset/summe-erzeugter-und-entsorgter-abfaelle-stadt-koeln","01024664-4e3d-47f0-b404-fef2612dda1a","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Landeshauptstadt Düsseldorf","Abfallwirtschaft - Abfallmengen","Abfallwirtschaft","Abfallmengen","Übersicht/Statistik","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Nach Abfallarten differenzierte entsorgte Abfallmenge der Stadt Düsseldorf","<p>Der Datensatz enthält das Aufkommen der verschiedenen Abfallarten in Düsseldorf ab 2009.</p><p>Die Datei ""Aufkommen Abfallarten ab 2009"" enthält folgende Spalteninformationen:</p><ul><li>Abfallart: Benennung der Abfallart</li><li>2009 – 2017: Menge in Tonnen</li></ul>","https://opendata.duesseldorf.de/dataset/nach-abfallarten-differenzierte-entsorgte-abfallmenge-der-stadt-d%C3%BCsseldorf","ea062403-fd93-4304-8dc9-eca9eeb0c80c","http://dcat-ap.de/def/licenses/dl-by-de/2.0","Landeshauptstadt Düsseldorf"
"Stadt Köln","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Betriebshöfe in Köln","<p>Übersicht der Betriebshöfe zur Abgabe von Elektrokleingeräten.</p>","https://offenedaten-koeln.de/dataset/betriebsh%C3%B6fe-k%C3%B6ln","6e47444e-8286-4d5e-a72e-d3dac352ad6f","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
"Stadt Köln","Abfallwirtschaft - Abgabestellen","Abfallwirtschaft","Abgabestellen","Standorte","532.02","532.01","53700","Umwelt","http://publications.europa.eu/resource/authority/data-theme/ENVI ","Stadt Köln: Bürgerämter zur Abgabe von Elektrokleingeräten","<p>Übersicht der Bürgerämter in Köln zur Abgabe von Batterien CDs und Elektrokleingeräten.</p>","https://offenedaten-koeln.de/dataset/b%C3%BCrger%C3%A4mter-zur-abgabe-von-elektrokleinger%C3%A4ten","5a06e5a7-be36-4206-be2b-9c05585e4dd7","http://dcat-ap.de/def/licenses/cc-by","AWB Köln"
